
 F-01 DiPTS > m 1.0e+04 | t  4.0811 | y  0.0000e+00

 F-02 DiPTS > m 1.0e+04 | t  2.7963 | y  1.0000e+00

 F-03 DiPTS > m 1.0e+04 | t  2.7974 | y  1.5560e-03

 F-04 DiPTS > m 1.0e+04 | t  2.9046 | y  0.0000e+00

 F-05 DiPTS > m 1.0e+04 | t  2.7951 | y  0.0000e+00

 F-06 DiPTS > m 1.0e+04 | t  2.8053 | y  1.1000e+01

 F-07 DiPTS > m 1.0e+04 | t  2.8154 | y  0.0000e+00

 F-08 DiPTS > m 1.0e+04 | t  2.9065 | y  0.0000e+00

 F-09 DiPTS > m 1.0e+04 | t  2.7990 | y  0.0000e+00

 F-10 DiPTS > m 1.0e+04 | t  2.8260 | y  0.0000e+00

 F-11 DiPTS > m 1.0e+04 | t  2.9351 | y -6.7000e+01

 F-12 DiPTS > m 1.0e+04 | t  2.8220 | y  0.0000e+00

 F-13 DiPTS > m 1.0e+04 | t  2.8286 | y  0.0000e+00

 F-14 DiPTS > m 1.0e+04 | t  2.8103 | y  1.9363e-02
