fun,nbb,m,t,y
P-02,5,3100,2.253305431921035,0.0
P-02,10,3800,2.4395805130479857,0.0
P-02,15,3240,2.37708293099422,0.0
P-02,20,3600,2.424961537006311,0.0
P-02,25,4200,2.5381963989930227,0.0
P-02,30,5310,2.9563320219749585,0.0
P-02,35,6650,3.374029516009614,0.0
P-02,40,5920,3.1680936600314453,0.0
P-02,45,8550,3.6841757119400427,0.0
P-02,50,5200,3.0066876990022138,0.0
P-07,5,6900,2.472948586102575,11.0
P-07,10,6700,2.549064500024542,11.0
P-07,15,8640,2.8864917419850826,11.0
P-07,20,8400,2.9372547609964386,11.0
P-07,25,5900,2.8779852219158784,11.0
P-07,30,5670,2.9264707770198584,11.0
P-07,35,6020,3.285215100971982,16.0
P-07,40,4800,2.9718100340105593,11.0
P-07,45,5400,3.104164074989967,18.0
P-07,50,9300,3.8176306060049683,17.0
P-08,5,4400,2.4556903820484877,0.0
P-08,10,4600,2.403832570067607,0.0
P-08,15,6120,2.645846833009273,0.0
P-08,20,5500,2.6419966309331357,0.0
P-08,25,6500,2.8304372309939936,0.0
P-08,30,4680,2.782509964075871,0.0
P-08,35,3010,2.788128075073473,1.0
P-08,40,3840,2.7765568899922073,0.0
P-08,45,4680,2.939281599014066,1.0
P-08,50,5200,3.0192235780414194,1.0
P-09,5,6200,2.436267656972632,0.0
P-09,10,5100,2.5687878120224923,0.028441112912250488
P-09,15,4140,2.4463543399469927,0.061628125535939104
P-09,20,9000,3.0005586289335042,0.056882225824500976
P-09,25,7200,2.917082897038199,0.07979788419219974
P-09,30,5670,2.9273704099468887,0.056882225824500976
P-09,35,7210,3.5515294049400836,0.13430716016098165
P-09,40,8320,3.8290925020119175,0.1240358059049918
P-09,45,7560,3.5236183939268813,0.05925517568022004
P-09,50,9700,3.9118393139215186,0.14220556456125244
P-10,5,4600,2.3432144559919834,2905.3440803958474
P-10,10,4100,2.3643228230066597,2905.3440803958474
P-10,15,3780,2.4101732979761437,2905.3440803958474
P-10,20,6300,2.7178008429473266,2905.3440803958474
P-10,25,5100,2.7914918250171468,2905.3440803958474
P-10,30,5130,2.835553160053678,2905.3440803958474
P-10,35,3990,2.8508795769885182,2905.4488802426927
P-10,40,7840,3.5718385779764503,2905.4488802426927
P-10,45,9720,3.9126163439359516,2905.4488802426927
P-10,50,7400,3.4351621909299865,2905.4488802426927
