Fun,m,t,y
P-01,100,2.4436545689823106,10.237045127314728
P-01,200,2.452258840901777,8.697562224153756
P-01,300,2.459522060933523,7.292721926874284
P-01,400,2.4667585809947923,6.397105120327723
P-01,900,2.5022210729075596,4.058056534333261
P-01,1600,2.5517615259159356,3.8499478296762533
P-01,1700,2.5588908919598907,3.3806404531181187
P-01,1900,2.5729989889077842,3.1103430022080083
P-01,2000,2.580093999975361,2.806240738419824
P-01,2800,2.6359764769440517,2.454429245248342
P-01,2900,2.6430419218959287,2.027770216067374
P-01,4000,2.720006225979887,0.0
P-02,100,2.1779132479568943,3.8184478670245205
P-02,900,2.235927745932713,2.876346002566712
P-02,1200,2.2575659099966288,2.7413239981810533
P-02,1600,2.286207038909197,0.7233600241796017
P-02,4600,2.4911789499456063,0.0
P-03,100,2.063946663052775,-1.026187963170189e-10
P-03,200,2.0723790790652856,-2.061153622438558e-09
P-03,400,2.086960735032335,-5.04347662567888e-07
P-03,500,2.094056547037326,-1.670170079024566e-05
P-03,800,2.1147384580690414,-0.01831563888873418
P-03,1700,2.1765147380065173,-0.22313016014842982
P-03,3400,2.2919596360297874,-0.36787944117144233
P-03,4000,2.3339857030659914,-0.6065306597126334
P-03,4600,2.3749956930987537,-1.0
P-04,100,2.059347965987399,0.7338367739065641
P-04,200,2.067908484954387,0.6362417855997866
P-04,300,2.0754851599922404,0.6104003454957102
P-04,400,2.082701590959914,0.3369501393914507
P-04,800,2.1107743529137224,0.27328127722722306
P-04,1600,2.166838845005259,0.24696401021337078
P-04,1700,2.1740583919454366,0.21118954243689692
P-04,1900,2.1881297199288383,0.17616015792129835
P-04,2100,2.2021966689499095,0.17386812925121742
P-04,2400,2.2231988159473985,0.13713498749056685
P-04,3100,2.272193023003638,0.06533304908829307
P-04,3600,2.307111413916573,0.024568463628673376
P-04,5800,2.459452522918582,0.023510585308394893
P-04,6200,2.487473747925833,0.0
P-05,100,2.0623167550656945,-2.9465490165196044
P-05,1000,2.127465538098477,-3.700695639024465
P-05,2300,2.2182559760985896,-3.8230329357077335
P-05,2600,2.239296796033159,-3.8234828431741676
P-05,2800,2.253481940017082,-3.8339859711483006
P-05,2900,2.26052855909802,-3.83720958702994
P-05,3200,2.2814925040584058,-3.8976174101276264
P-05,3300,2.288585321046412,-4.02041279366995
P-05,3800,2.323445933056064,-4.034131358133101
P-06,10,3.8191367719555274,
P-06,10000,18.301468427991495,
P-07,100,2.0675033000297844,1203.0
P-07,200,2.075885100988671,499.0
P-07,400,2.0901928360108286,241.0
P-07,500,2.0972131059970707,112.0
P-07,700,2.1111151130171493,39.0
P-07,2000,2.2009748650016263,25.0
P-07,2400,2.2284667970379815,24.0
P-07,2800,2.255901398952119,20.0
P-07,3200,2.283441522042267,11.0
P-08,100,2.1049771360121667,59.0
P-08,300,2.120925772935152,39.0
P-08,700,2.1493948369752616,26.0
P-08,1000,2.170279582031071,17.0
P-08,1500,2.205008273012936,9.0
P-08,2000,2.2397189299808815,5.0
P-08,2200,2.2536718129413202,4.0
P-08,3200,2.3225501879351214,3.0
P-08,3600,2.350164370960556,2.0
P-08,4900,2.4396206489764154,1.0
P-08,6500,2.5494556420017034,0.0
P-09,100,2.2258042600005865,1.0226455522283557
P-09,300,2.2416733760619536,0.5119438617848135
P-09,1400,2.320710240979679,0.43487839485389623
P-09,2100,2.371333757066168,0.11376445164900195
P-09,6000,2.6485118119744584,0.028441112912250488
P-09,8300,2.8072671820409596,0.0
P-09,10000,17.96630910190288,0.0
P-10,100,2.0721319089643657,2907.224257560015
P-10,500,2.101741760969162,2906.8229017627364
P-10,700,2.1156984630506486,2905.850236039971
P-10,800,2.1226718589896336,2905.6406363462806
P-10,1400,2.163581585045904,2905.4488802426927
P-10,3500,2.306498878984712,2905.3440803958474
