
 fun P-01 | nbb 5 |

 m 100 | t 3.3532089149812236 | y 8.088628906770692 |
 m 200 | t 3.370717625017278 | y 7.7462216643521575 |
 m 300 | t 3.3775574379833415 | y 5.355647231947987 |
 m 800 | t 3.4068713249871507 | y 5.0761254161348255 |
 m 1000 | t 3.41859698202461 | y 4.058056534333261 |
 m 1100 | t 3.4244574210606515 | y 2.806240738419824 |
 m 1900 | t 3.4693035429809242 | y 2.027770216067374 |
 m 2600 | t 3.50807469105348 | y 1.4561280949311026 |
 m 3900 | t 3.5802473360672593 | y 0.0 |

 fun P-01 | nbb 10 |

 m 100 | t 2.423645343980752 | y 7.129295735226188 |
 m 500 | t 2.4543154489947483 | y 6.397105120327723 |
 m 800 | t 2.476516725961119 | y 5.0761254161348255 |
 m 900 | t 2.4840216789161786 | y 4.435090254181279 |
 m 1300 | t 2.5132320799166337 | y 3.3806404531181187 |
 m 2100 | t 2.5715190079063177 | y 3.1103430022080083 |
 m 2500 | t 2.6007612890098244 | y 2.806240738419824 |
 m 2600 | t 2.6081563140032813 | y 2.027770216067374 |
 m 3600 | t 2.6807804739801213 | y 1.4561280949311026 |
 m 4400 | t 2.7375090909190476 | y 0.0 |

 fun P-01 | nbb 15 |

 m 90 | t 2.4778732949635014 | y 6.081742232615628 |
 m 270 | t 2.4967493939911947 | y 5.614360023995484 |
 m 990 | t 2.567286591976881 | y 4.252422377654273 |
 m 1530 | t 2.620035190950148 | y 2.027770216067374 |
 m 2700 | t 2.733887370908633 | y 1.4561280949311026 |
 m 3330 | t 2.795227090944536 | y 0.0 |

 fun P-01 | nbb 20 |

 m 100 | t 2.431828562053852 | y 8.281019530251806 |
 m 400 | t 2.464875338017009 | y 7.7462216643521575 |
 m 500 | t 2.4755536110606045 | y 7.211853616762058 |
 m 600 | t 2.486073735053651 | y 4.771354661968754 |
 m 1300 | t 2.5592760500730947 | y 4.252422377654273 |
 m 2100 | t 2.644248808035627 | y 4.058056534333261 |
 m 2300 | t 2.665276201092638 | y 3.8499478296762533 |
 m 2600 | t 2.6968320740852505 | y 3.3806404531181187 |
 m 2900 | t 2.728103658067994 | y 2.027770216067374 |
 m 4700 | t 2.9161385210463777 | y 1.4561280949311026 |
 m 5100 | t 2.9578921170905232 | y 0.0 |

 fun P-01 | nbb 25 |

 m 100 | t 2.485539344022982 | y 10.463980132553356 |
 m 200 | t 2.498625097097829 | y 9.023767278119472 |
 m 300 | t 2.510695116012357 | y 8.153773986436361 |
 m 400 | t 2.522637182031758 | y 5.48737756862209 |
 m 1200 | t 2.6175792100839317 | y 3.8499478296762533 |
 m 2200 | t 2.7360980790108442 | y 3.3806404531181187 |
 m 2400 | t 2.75992991309613 | y 3.1103430022080083 |
 m 3600 | t 2.9025259210029617 | y 2.454429245248342 |
 m 4000 | t 2.950012975023128 | y 1.4561280949311026 |
 m 4200 | t 2.9738401010399684 | y 0.0 |

