


 fun P-01 | nbb 5 |

 m 100 | t 3.4088600049726665 | y 9.515832113171365 |
 m 200 | t 3.428130168002099 | y 8.088628906770692 |
 m 300 | t 3.4350204720394686 | y 7.8170611955904015 |
 m 700 | t 3.458150713937357 | y 5.855552955621501 |
 m 1100 | t 3.4807357520330697 | y 5.0761254161348255 |
 m 1300 | t 3.4920688279671595 | y 4.771354661968754 |
 m 1500 | t 3.5034412789391354 | y 4.252422377654273 |
 m 2000 | t 3.531605424010195 | y 3.6253849384403622 |
 m 2100 | t 3.5372410389827564 | y 3.1103430022080083 |
 m 2200 | t 3.542881623026915 | y 2.806240738419824 |
 m 3000 | t 3.5869681750191376 | y 2.454429245248342 |
 m 3200 | t 3.5981543930247426 | y 2.027770216067374 |
 m 3500 | t 3.614825599011965 | y 1.4561280949311026 |
 m 4900 | t 3.6918864470208064 | y 0.0 |

 fun P-01 | nbb 10 |

 m 100 | t 2.4436545689823106 | y 10.237045127314728 |
 m 200 | t 2.452258840901777 | y 8.697562224153756 |
 m 300 | t 2.459522060933523 | y 7.292721926874284 |
 m 400 | t 2.4667585809947923 | y 6.397105120327723 |
 m 900 | t 2.5022210729075596 | y 4.058056534333261 |
 m 1600 | t 2.5517615259159356 | y 3.8499478296762533 |
 m 1700 | t 2.5588908919598907 | y 3.3806404531181187 |
 m 1900 | t 2.5729989889077842 | y 3.1103430022080083 |
 m 2000 | t 2.580093999975361 | y 2.806240738419824 |
 m 2800 | t 2.6359764769440517 | y 2.454429245248342 |
 m 2900 | t 2.6430419218959287 | y 2.027770216067374 |
 m 4000 | t 2.720006225979887 | y 0.0 |

 fun P-01 | nbb 15 |

 m 90 | t 2.5040052449330688 | y 6.081742232615628 |
 m 810 | t 2.573885389021598 | y 5.614360023995484 |
 m 990 | t 2.59087739395909 | y 3.8499478296762533 |
 m 1530 | t 2.641980979940854 | y 3.6253849384403622 |
 m 1980 | t 2.6843335449229926 | y 3.3806404531181187 |
 m 2070 | t 2.692875448963605 | y 2.806240738419824 |
 m 3060 | t 2.785745628993027 | y 2.454429245248342 |
 m 3240 | t 2.8025730819208547 | y 2.027770216067374 |
 m 4050 | t 2.8778705769218504 | y 1.4561280949311026 |
 m 5220 | t 2.986476739984937 | y 0.0 |

 fun P-01 | nbb 20 |

 m 100 | t 2.4565975869772956 | y 8.863898370253153 |
 m 400 | t 2.4886021140264347 | y 3.8499478296762533 |
 m 1700 | t 2.6195549130206928 | y 2.806240738419824 |
 m 1800 | t 2.629693806055002 | y 2.454429245248342 |
 m 3600 | t 2.810008379048668 | y 2.027770216067374 |
 m 3900 | t 2.840187815017998 | y 1.4561280949311026 |
 m 5000 | t 2.9499207250773907 | y 0.0 |

 fun P-01 | nbb 25 |

 m 100 | t 2.507792165968567 | y 11.013420717655569 |
 m 200 | t 2.5208381400443614 | y 10.572862774815718 |
 m 300 | t 2.5324739400530234 | y 8.153773986436361 |
 m 500 | t 2.555320563958958 | y 7.129295735226188 |
 m 1000 | t 2.6119000009493902 | y 6.397105120327723 |
 m 1200 | t 2.6346702909795567 | y 5.0761254161348255 |
 m 1800 | t 2.7025013299426064 | y 4.435090254181279 |
 m 2300 | t 2.7593917270423844 | y 4.252422377654273 |
 m 2600 | t 2.793425992014818 | y 4.058056534333261 |
 m 3000 | t 2.83860190899577 | y 1.4561280949311026 |
 m 5800 | t 3.155439542955719 | y 0.0 |

 fun P-01 | nbb 30 |

 m 90 | t 2.5554254930466413 | y 7.955119429798096 |
 m 360 | t 2.598413062049076 | y 7.044969674039386 |
 m 630 | t 2.6374099750537425 | y 6.189844412573301 |
 m 810 | t 2.6629901620326564 | y 5.355647231947987 |
 m 1080 | t 2.7013745040167123 | y 4.435090254181279 |
 m 1440 | t 2.752578580053523 | y 4.058056534333261 |
 m 1890 | t 2.816575890989043 | y 3.8499478296762533 |
 m 2430 | t 2.8930975060211495 | y 3.6253849384403622 |
 m 2610 | t 2.9188739550299942 | y 3.3806404531181187 |
 m 2970 | t 2.9699087410699576 | y 3.1103430022080083 |
 m 3510 | t 3.046740574063733 | y 2.454429245248342 |
 m 3960 | t 3.110488011036068 | y 2.027770216067374 |
 m 4410 | t 3.1740869659697637 | y 1.4561280949311026 |
 m 7380 | t 3.594018753967248 | y 0.0 |

 fun P-01 | nbb 35 |

 m 70 | t 2.363477242994122 | y 9.607560165111977 |
 m 210 | t 2.3949888750212267 | y 6.87066750445959 |
 m 420 | t 2.440374850993976 | y 6.081742232615628 |
 m 560 | t 2.4699161980533972 | y 4.435090254181279 |
 m 1540 | t 2.669560497975908 | y 4.058056534333261 |
 m 2590 | t 2.8811405170708895 | y 3.8499478296762533 |
 m 2730 | t 2.909484804025851 | y 2.806240738419824 |
 m 3220 | t 3.0146894990466535 | y 2.454429245248342 |
 m 3360 | t 3.043438844033517 | y 2.027770216067374 |
 m 3640 | t 3.100504433037713 | y 1.4561280949311026 |

 fun P-01 | nbb 40 |

 m 80 | t 2.397314104018733 | y 6.78050098190621 |
 m 720 | t 2.533138389000669 | y 5.736974324846802 |
 m 1440 | t 2.6749990589451045 | y 4.607647344500165 |
 m 2160 | t 2.817243697005324 | y 4.252422377654273 |
 m 2320 | t 2.8490845629712567 | y 3.3806404531181187 |
 m 3120 | t 3.00727623491548 | y 2.454429245248342 |
 m 4160 | t 3.2105636309133843 | y 1.4561280949311026 |

 fun P-01 | nbb 45 |

 m 90 | t 2.3021002609748393 | y 8.2178931574933 |
 m 270 | t 2.3396897859638557 | y 7.955119429798096 |
 m 450 | t 2.374604308977723 | y 7.600689951409805 |
 m 540 | t 2.391945324954577 | y 7.044969674039386 |
 m 630 | t 2.4094737368868664 | y 6.189844412573301 |
 m 900 | t 2.475194464903325 | y 5.48737756862209 |
 m 990 | t 2.4928907649591565 | y 4.435090254181279 |
 m 1350 | t 2.562312289956026 | y 3.1103430022080083 |
 m 3150 | t 2.905543061904609 | y 1.4561280949311026 |

 fun P-01 | nbb 50 |

 m 100 | t 2.3063508690102026 | y 7.129295735226188 |
 m 900 | t 2.4616211620159447 | y 5.355647231947987 |
 m 1100 | t 2.4991636080667377 | y 4.252422377654273 |
 m 1800 | t 2.6295250970870256 | y 3.6253849384403622 |
 m 2900 | t 2.8340129300486296 | y 3.3806404531181187 |
 m 3500 | t 2.9456775720464066 | y 1.4561280949311026 |
 m 8400 | t 3.860318295075558 | y 0.0 |

 fun P-02 | nbb 5 |

 m 100 | t 2.071697727078572 | y 8.110488857243732 |
 m 200 | t 2.078688299981877 | y 5.956871999206709 |
 m 600 | t 2.101651916047558 | y 5.4826479963621075 |
 m 700 | t 2.107436813064851 | y 3.599706026746314 |
 m 900 | t 2.1190268070204183 | y 3.2465730617323603 |
 m 1100 | t 2.1304491120390594 | y 2.3881910331671 |
 m 1500 | t 2.1532383270096034 | y 1.6648310089874983 |
 m 2400 | t 2.2042153839720413 | y 1.4467200483592033 |
 m 2600 | t 2.215716277016327 | y 0.7233600241796017 |
 m 3500 | t 2.2656096890568733 | y 0.0 |

 fun P-02 | nbb 10 |

 m 100 | t 2.1779132479568943 | y 3.8184478670245205 |
 m 900 | t 2.235927745932713 | y 2.876346002566712 |
 m 1200 | t 2.2575659099966288 | y 2.7413239981810533 |
 m 1600 | t 2.286207038909197 | y 0.7233600241796017 |
