fun P-01 | nbb 5 |

 m 5 | t 3.457223137957044 | y 7.211853616762058 |
 m 10 | t 3.4761413949308917 | y 5.0761254161348255 |
 m 55 | t 3.5277172959176823 | y 3.3806404531181187 |
 m 70 | t 3.544341297936626 | y 2.454429245248342 |
 m 155 | t 3.6385088679380715 | y 2.027770216067374 |
 m 190 | t 3.6770792909665033 | y 1.4561280949311026 |
 m 230 | t 3.721049979911186 | y 0.0 |
 m 1000 | t 4.558715769904666 | y 0.0 |

 fun P-01 | nbb 10 |

 m 10 | t 2.4268634039908648 | y 8.281019530251806 |
 m 40 | t 2.450000540004112 | y 7.886679230225873 |
 m 50 | t 2.457159467972815 | y 7.674114318051961 |
 m 70 | t 2.471306078019552 | y 5.218732122741297 |
 m 80 | t 2.478431991999969 | y 4.435090254181279 |
 m 130 | t 2.5137383840046823 | y 4.058056534333261 |
 m 180 | t 2.5488244380103424 | y 3.3806404531181187 |
 m 200 | t 2.562988310935907 | y 2.806240738419824 |
 m 330 | t 2.6535588590195403 | y 1.4561280949311026 |
 m 480 | t 2.758088381960988 | y 0.0 |
 m 1000 | t 3.11914965196047 | y 0.0 |

 fun P-01 | nbb 15 |

 m 15 | t 2.600886399974115 | y 7.211853616762058 |
 m 60 | t 2.6295530379284173 | y 7.129295735226188 |
 m 75 | t 2.6380615399684757 | y 6.593599079287213 |
 m 135 | t 2.671595184947364 | y 5.614360023995484 |
 m 180 | t 2.696670140954666 | y 5.48737756862209 |
 m 210 | t 2.713621282018721 | y 5.0761254161348255 |
 m 240 | t 2.7304549909895286 | y 4.927233671124704 |
 m 255 | t 2.738834489020519 | y 3.1103430022080083 |
 m 555 | t 2.9050556709989905 | y 2.454429245248342 |
 m 600 | t 2.9302494219737127 | y 2.027770216067374 |
 m 630 | t 2.9469019969692454 | y 1.4561280949311026 |
 m 1005 | t 3.1539409270044416 | y 0.0 |

 fun P-01 | nbb 20 |

 m 20 | t 2.4453724949853495 | y 9.996730890438618 |
 m 40 | t 2.4575351889943704 | y 7.886679230225873 |
 m 100 | t 2.487614120938815 | y 7.8170611955904015 |
 m 120 | t 2.4976448559900746 | y 4.058056534333261 |
 m 300 | t 2.58734943496529 | y 3.3806404531181187 |
 m 420 | t 2.646724044927396 | y 3.1103430022080083 |
 m 540 | t 2.7062896268907934 | y 2.027770216067374 |
 m 700 | t 2.7998109329491854 | y 1.4561280949311026 |
 m 980 | t 2.939511851989664 | y 0.0 |
 m 1000 | t 2.9494594909483567 | y 0.0 |

 fun P-01 | nbb 25 |

 m 25 | t 2.509700487018563 | y 10.19796191253689 |
 m 50 | t 2.525736494921148 | y 6.958790744791061 |
 m 225 | t 2.6045969480182976 | y 5.855552955621501 |
 m 325 | t 2.649660286027938 | y 5.736974324846802 |
 m 375 | t 2.6721229549730197 | y 3.3806404531181187 |
 m 600 | t 2.7730337149696425 | y 2.027770216067374 |
 m 1000 | t 2.963044988922775 | y 2.027770216067374 |

 fun P-01 | nbb 30 |

 m 30 | t 2.666017221985385 | y 10.275757266411311 |
 m 60 | t 2.685837115976028 | y 9.075705997036001 |
 m 90 | t 2.6988333880435675 | y 8.404418058422964 |
 m 120 | t 2.711826974991709 | y 7.525896216282513 |
 m 180 | t 2.7374273949535564 | y 5.855552955621501 |
 m 300 | t 2.788739908952266 | y 5.0761254161348255 |
 m 390 | t 2.8272816370008513 | y 4.252422377654273 |
 m 480 | t 2.865832753945142 | y 3.6253849384403622 |
 m 810 | t 3.0061475039692596 | y 3.3806404531181187 |
 m 870 | t 3.0316881119506434 | y 2.454429245248342 |
 m 1020 | t 3.0951182330027223 | y 2.454429245248342 |

 fun P-01 | nbb 35 |

 m 35 | t 2.3459458260331303 | y 6.78050098190621 |
 m 280 | t 2.4474965890403837 | y 6.4966193700419055 |
 m 315 | t 2.461681511020288 | y 5.970388972591483 |
 m 525 | t 2.5462182119954377 | y 2.454429245248342 |
 m 1015 | t 2.7429065910400823 | y 2.454429245248342 |

 fun P-01 | nbb 40 |

 m 40 | t 2.471759247011505 | y 6.87066750445959 |
 m 120 | t 2.505443246103823 | y 5.736974324846802 |
 m 400 | t 2.615349871106446 | y 5.0761254161348255 |
 m 480 | t 2.6466336650773883 | y 4.927233671124704 |
 m 1000 | t 2.849365218076855 | y 4.927233671124704 |

 fun P-01 | nbb 45 |

 m 45 | t 2.2673945010174066 | y 7.044969674039386 |
 m 270 | t 2.3713283360702917 | y 6.78050098190621 |
 m 450 | t 2.439861200051382 | y 5.355647231947987 |
 m 495 | t 2.4571287700673565 | y 4.607647344500165 |
 m 675 | t 2.525316730956547 | y 2.454429245248342 |
 m 1035 | t 2.661518853972666 | y 2.454429245248342 |

 fun P-01 | nbb 50 |

 m 50 | t 2.2731882020598277 | y 6.87066750445959 |
 m 150 | t 2.3125461160670966 | y 6.081742232615628 |
 m 400 | t 2.405315138050355 | y 5.855552955621501 |
 m 500 | t 2.4422903090016916 | y 5.0761254161348255 |
 m 750 | t 2.5351154670352116 | y 2.027770216067374 |
 m 1000 | t 2.6275516180321574 | y 2.027770216067374 |

 fun P-02 | nbb 5 |

 m 5 | t 2.086232104105875 | y 7.2837627690350875 |
 m 15 | t 2.0992993800900877 | y 4.0530220421545975 |
 m 40 | t 2.1268831870984286 | y 3.6827949829889493 |
 m 45 | t 2.1324532750295475 | y 3.4646840223606548 |
 m 60 | t 2.1488507780013606 | y 0.7233600241796017 |
 m 175 | t 2.274463167064823 | y 0.0 |
 m 1000 | t 3.163457290036604 | y 0.0 |

 fun P-02 | nbb 10 |

 m 10 | t 2.279755620053038 | y 7.56913220563507 |
 m 20 | t 2.2884547139983624 | y 6.560402744855486 |
 m 30 | t 2.295484486967325 | y 5.701389836640313 |
 m 50 | t 2.309568627970293 | y 5.7007589569904 |
 m 60 | t 2.316582310013473 | y 5.483278876012019 |
 m 70 | t 2.3235142480116338 | y 4.541177011554209 |
 m 80 | t 2.3305860600667074 | y 2.7413239981810533 |
 m 140 | t 2.3715544539736584 | y 2.5232130375527584 |
 m 160 | t 2.3852435579756275 | y 1.7998530133731567 |
 m 230 | t 2.4327650310005993 | y 1.6648310089874983 |
 m 240 | t 2.4396378269884735 | y 0.9414709848078965 |
 m 310 | t 2.487451864988543 | y 0.7233600241796017 |
 m 340 | t 2.5078585300361738 | y 0.0 |
 m 1000 | t 2.969807305955328 | y 0.0 |

 fun P-02 | nbb 15 |

 m 15 | t 2.032400059979409 | y 4.406785886818463 |
 m 150 | t 2.1079547519329935 | y 3.464684022360655 |
 m 165 | t 2.1161982029443607 | y 2.6063019937953946 |
 m 225 | t 2.1488386259879917 | y 2.5232130375527584 |
 m 240 | t 2.157084131031297 | y 2.3881910331670997 |
 m 255 | t 2.1653204989852384 | y 1.7998530133731567 |
 m 285 | t 2.1817323690047488 | y 0.7233600241796017 |
 m 390 | t 2.238814809010364 | y 0.0 |
 m 1005 | t 2.5707790759624913 | y 0.0 |

 fun P-02 | nbb 20 |

 m 20 | t 2.0476554901106283 | y 6.424749860819915 |
 m 80 | t 2.078965964028612 | y 2.741323998181053 |
 m 220 | t 2.146622890024446 | y 1.4467200483592033 |
 m 640 | t 2.349046920076944 | y 0.7233600241796017 |
 m 940 | t 2.493153973016888 | y 0.0 |
 m 1000 | t 2.5219713960541412 | y 0.0 |

 fun P-02 | nbb 25 |

 m 25 | t 2.072024188004434 | y 9.443094888653595 |
 m 50 | t 2.08714758802671 | y 8.113069240340213 |
 m 100 | t 2.109211301081814 | y 5.617670000747765 |
 m 125 | t 2.1203286150703207 | y 4.894940856218076 |
 m 150 | t 2.1313584530726075 | y 2.959434958809348 |
 m 250 | t 2.1750597320497036 | y 2.7413239981810533 |
 m 475 | t 2.2729178310837597 | y 2.6063019937953946 |
 m 625 | t 2.3384425380500033 | y 1.7998530133731567 |
 m 725 | t 2.3819559121038765 | y 1.6648310089874983 |
 m 775 | t 2.4038944280473515 | y 1.076492989193555 |
 m 1000 | t 2.501522772014141 | y 0.0 |

 fun P-02 | nbb 30 |

 m 30 | t 2.3174979540053755 | y 9.772637500249107 |
 m 90 | t 2.3445291850948706 | y 7.501873729663382 |
 m 120 | t 2.3570979071082547 | y 6.445026968606321 |
 m 180 | t 2.381794046028517 | y 5.233511975027107 |
 m 240 | t 2.406600613030605 | y 5.015401014398813 |
 m 270 | t 2.4189621730474755 | y 4.271133002782893 |
 m 300 | t 2.4312897180207074 | y 4.0530220421545975 |
 m 330 | t 2.4436330830212682 | y 3.3296620179749965 |
 m 390 | t 2.4681873130612075 | y 2.876346002566712 |
 m 750 | t 2.615593063062988 | y 2.7413239981810533 |
 m 780 | t 2.6280110090738162 | y 2.0179639740014514 |
 m 900 | t 2.6770864160498604 | y 1.4467200483592033 |
 m 1020 | t 2.725893294089474 | y 0.9414709848078965 |

 fun P-02 | nbb 35 |

 m 35 | t 2.027926017064601 | y 11.239001922163885 |
 m 70 | t 2.043571987072937 | y 6.528746804498869 |
 m 175 | t 2.0848221640335396 | y 4.978029812460711 |
 m 350 | t 2.153020906029269 | y 4.759918851832417 |
 m 455 | t 2.1938796220347285 | y 4.188044046540257 |
 m 735 | t 2.3025968150468543 | y 2.9594349588093483 |
 m 1015 | t 2.4114440450211987 | y 2.9594349588093483 |

 fun P-02 | nbb 40 |

 m 40 | t 1.9962888039881364 | y 5.852875055527754 |
 m 160 | t 2.043583799037151 | y 4.978029812460711 |
 m 320 | t 2.1035689660348 | y 3.8178169873746084 |
 m 400 | t 2.1335210979450494 | y 2.3881910331670997 |
 m 840 | t 2.297708748956211 | y 1.882941969615793 |
 m 920 | t 2.327748426934704 | y 1.7998530133731567 |
 m 1000 | t 2.357448471011594 | y 1.7998530133731567 |

 fun P-02 | nbb 45 |

 m 45 | t 2.02249814895913 | y 6.528746804498869 |
 m 180 | t 2.073625211021863 | y 5.113682696496282 |
 m 315 | t 2.1225836960365996 | y 5.113051816846371 |
 m 360 | t 2.138946432969533 | y 4.510151950847506 |
 m 450 | t 2.171621061046608 | y 2.6063019937953946 |
 m 855 | t 2.3181533260503784 | y 2.3881910331671 |
 m 1035 | t 2.383314835955389 | y 2.3881910331671 |

 fun P-02 | nbb 50 |

 m 50 | t 2.285626578028314 | y 7.181535107074751 |
 m 150 | t 2.3254550030687824 | y 6.559771865205574 |
 m 200 | t 2.3434352830518037 | y 4.406155007168551 |
 m 750 | t 2.537814549054019 | y 4.037189707302727 |
 m 800 | t 2.5556670980295166 | y 2.3881910331671 |
 m 1000 | t 2.6261221420718357 | y 2.3881910331671 |

 fun P-03 | nbb 5 |

 m 5 | t 2.059138426091522 | y -8.315287191035679e-07 |
 m 15 | t 2.07217360206414 | y -6.14421235332821e-06 |
 m 20 | t 2.077791651012376 | y -7.48518298877006e-05 |
 m 25 | t 2.0833967650542036 | y -0.0005530843701478336 |
 m 55 | t 2.1160984050948173 | y -0.0009118819655545162 |
 m 75 | t 2.13779789803084 | y -0.0015034391929775724 |
 m 85 | t 2.148681128048338 | y -0.0820849986238988 |
 m 120 | t 2.186727988999337 | y -0.22313016014842982 |
 m 150 | t 2.2192090910393745 | y -0.36787944117144233 |
 m 190 | t 2.262392599019222 | y -1.0 |
 m 1000 | t 3.1326137520372868 | y -1.0 |

 fun P-03 | nbb 10 |

 m 10 | t 2.0472082239575684 | y -1.5628821893349888e-18 |
 m 20 | t 2.0562327839434147 | y -1.5428112031918877e-13 |
 m 40 | t 2.0701154939597473 | y -3.0988191387218256e-12 |
 m 50 | t 2.0770738419378176 | y -3.726653172078671e-06 |
 m 90 | t 2.104429385974072 | y -4.5399929762484854e-05 |
 m 110 | t 2.118159878998995 | y -0.006737946999085467 |
 m 160 | t 2.152250787941739 | y -0.011108996538242306 |
 m 180 | t 2.165914493962191 | y -0.0301973834223185 |
 m 220 | t 2.193130093975924 | y -0.0820849986238988 |
 m 260 | t 2.220470739994198 | y -0.22313016014842982 |
 m 350 | t 2.2815582240000367 | y -0.36787944117144233 |
 m 380 | t 2.3019758999580517 | y -0.6065306597126334 |
 m 440 | t 2.342626441968605 | y -1.0 |
 m 1000 | t 2.721016488969326 | y -1.0 |

 fun P-03 | nbb 15 |

 m 15 | t 2.0219175290549174 | y -2.3195228302435696e-16 |
 m 30 | t 2.0319508800748736 | y -2.289734845645553e-11 |
 m 45 | t 2.04029029305093 | y -0.00012340980408667956 |
 m 180 | t 2.1138750640675426 | y -0.22313016014842982 |
 m 390 | t 2.227914144983515 | y -0.6065306597126334 |
 m 840 | t 2.471403244067915 | y -1.0 |
 m 1005 | t 2.560608015046455 | y -1.0 |

 fun P-03 | nbb 20 |

 m 20 | t 2.051091447006911 | y -1.8795288165390832e-12 |
 m 60 | t 2.072420599986799 | y -9.237449661970594e-09 |
 m 80 | t 2.0821918440051377 | y -0.00012340980408667956 |
 m 100 | t 2.0919847290497273 | y -0.0009118819655545162 |
 m 120 | t 2.1017471570521593 | y -0.004086771438464067 |
 m 200 | t 2.1404288100311533 | y -0.1353352832366127 |
 m 380 | t 2.227145479992032 | y -0.36787944117144233 |
 m 960 | t 2.506474510068074 | y -1.0 |
 m 1000 | t 2.525669731083326 | y -1.0 |

 fun P-03 | nbb 25 |

 m 25 | t 2.2989600190194324 | y -1.7587922024243116e-25 |
 m 50 | t 2.311771752079949 | y -3.442477108469977e-14 |
 m 75 | t 2.3229685650439933 | y -2.7894680928689246e-10 |
 m 125 | t 2.3448637999827042 | y -2.510999155743982e-08 |
 m 225 | t 2.3887435470242053 | y -3.726653172078671e-06 |
 m 275 | t 2.410551595967263 | y -4.5399929762484854e-05 |
 m 300 | t 2.421512834029272 | y -7.48518298877006e-05 |
 m 400 | t 2.465438007027842 | y -0.01831563888873418 |
 m 600 | t 2.552465867018327 | y -0.049787068367863944 |
 m 675 | t 2.5851074010133743 | y -0.36787944117144233 |
 m 1000 | t 2.726112419972196 | y -0.36787944117144233 |

 fun P-03 | nbb 30 |

 m 30 | t 2.069403255940415 | y -3.775134544279098e-11 |
