
 fun P-01 | d 10000 |

 m 100 | t 3.879449189058505 | y 13.73298856656997 | x [9 3 1 ... 1 3 8]
 m 1200 | t 8.05593267607037 | y 13.718082425446756 | x [10  2  3 ...  2  5  7]
 m 1300 | t 8.431724586058408 | y 13.707237639386445 | x [ 2  0  9 ... 10  1  2]
 m 1400 | t 8.80890949408058 | y 13.684435022866042 | x [1 3 8 ... 5 1 0]
 m 1800 | t 10.299517981009558 | y 13.674976255717294 | x [8 1 6 ... 4 6 0]
 m 1900 | t 10.668298182077706 | y 13.667308665943855 | x [4 7 5 ... 2 1 3]
 m 2200 | t 11.79971748101525 | y 13.635151984072243 | x [ 0  3  1 ...  1 10  1]
 m 3000 | t 14.805454581044614 | y 13.619673612685137 | x [8 1 8 ... 6 6 9]
 m 3400 | t 16.335902298102155 | y 13.608475106745107 | x [5 0 0 ... 6 5 0]
 m 3500 | t 16.721645244047977 | y 13.591579863946293 | x [9 0 8 ... 1 5 9]
 m 4100 | t 19.011616779025644 | y 13.571758633217925 | x [9 3 9 ... 1 6 5]
 m 4300 | t 19.766790088033304 | y 13.561265082431497 | x [4 1 7 ... 3 6 9]
 m 4500 | t 20.510565211065114 | y 13.553382279224142 | x [9 3 8 ... 9 4 7]
 m 4600 | t 20.888736357097514 | y 13.54048959237288 | x [ 1  8 10 ...  1  8 10]
 m 4700 | t 21.256302560097538 | y 13.537207337595415 | x [9 1 0 ... 3 2 5]
 m 5100 | t 22.762245769030415 | y 13.510166814356625 | x [0 1 8 ... 4 5 2]
 m 5800 | t 25.449861802044325 | y 13.499424914365383 | x [9 3 3 ... 1 3 9]
 m 6300 | t 27.328284129034728 | y 13.455638679250104 | x [ 9  0  8 ...  1 10  3]
 m 8600 | t 36.0379686281085 | y 13.43884347207433 | x [6 8 6 ... 2 5 3]
 m 10000 | t 41.21708954509813 | y 13.43884347207433 | x [6 8 6 ... 2 5 3]

 fun P-02 | d 10000 |

 m 100 | t 2.6473594770068303 | y 30809.18060709971 | x [9 3 1 ... 1 3 8]
 m 200 | t 3.0520067560719326 | y 30798.856085533207 | x [2 0 4 ... 2 3 0]
 m 300 | t 3.4399846859741956 | y 30698.772017970616 | x [4 7 2 ... 1 1 9]
 m 700 | t 5.003188941976987 | y 30647.470805049354 | x [0 2 7 ... 4 7 7]
 m 800 | t 5.400736174080521 | y 30572.31531190391 | x [10  7  5 ...  4 10  7]
 m 1200 | t 6.998017568024807 | y 30549.04969560053 | x [9 0 7 ... 6 6 0]
 m 1300 | t 7.389115727040917 | y 30512.43106513739 | x [2 5 2 ... 2 6 9]
 m 1400 | t 7.7823467049747705 | y 30325.486339823503 | x [9 9 4 ... 2 8 0]
 m 1500 | t 8.172032549977303 | y 30276.285311025833 | x [ 9 10  8 ...  1  3  0]
 m 1700 | t 8.957714880001731 | y 30270.685950191 | x [0 8 9 ... 8 3 3]
 m 1900 | t 9.749331179074943 | y 30244.04944467323 | x [ 6  8  4 ...  1  6 10]
 m 2000 | t 10.144238092005253 | y 30164.817685871043 | x [ 9  0  2 ...  9 10  7]
 m 2200 | t 11.002453117980622 | y 29953.821058218702 | x [ 1  4  0 ...  0 10  1]
 m 2600 | t 12.612366414046846 | y 29904.3338024375 | x [1 5 7 ... 4 7 3]
 m 3100 | t 14.625170013052411 | y 29815.197474292738 | x [2 0 0 ... 1 1 4]
 m 3200 | t 15.030173536972143 | y 29620.413539787456 | x [6 6 1 ... 1 5 7]
 m 3400 | t 15.836744969012216 | y 29607.865725360774 | x [6 0 0 ... 8 5 0]
 m 3900 | t 17.808339385082945 | y 29589.62835813593 | x [3 3 3 ... 5 4 7]
 m 4300 | t 19.41575286805164 | y 29566.931485702113 | x [9 0 9 ... 8 1 7]
 m 4400 | t 19.81348730600439 | y 29411.641802849612 | x [ 2  2  0 ...  0 10  0]
 m 4700 | t 21.01936014299281 | y 29264.42513080677 | x [10  2  0 ...  4  2  5]
 m 5400 | t 23.803382774000056 | y 29120.09191403858 | x [2 5 7 ... 5 5 4]
 m 6000 | t 26.206035980023444 | y 29106.271225136923 | x [10  6  5 ...  6  0  1]
