
 fun P-01 | d 1000000 | Facility Location | 

 m 100 | t 58.060339411953464 | y 13.869092522960802 | x [8 5 9 ... 3 0 0]
 m 200 | t 102.06127808103338 | y 13.866702849222376 | x [0 1 4 ... 8 6 8]
 m 300 | t 147.8763156119967 | y 13.86615028754695 | x [8 2 8 ... 5 0 4]
 m 500 | t 236.99824005097616 | y 13.863939121510585 | x [10  4  5 ... 10  3  8]
 m 900 | t 423.47444098698907 | y 13.861659964997145 | x [5 5 3 ... 2 6 7]
 m 1600 | t 761.4515557900304 | y 13.860793962147126 | x [ 0  7 10 ...  7  0  7]
 m 3600 | t 1708.1259350170149 | y 13.860673882726429 | x [ 7  0  5 ... 10 10  4]

 fun P-01 | d 10000 | Facility Location | 

 m 100 | t 4.105332731967792 | y 13.798015360859281 | x [10  6  7 ...  9  9  2]
 m 200 | t 4.5744344720151275 | y 13.772098040595449 | x [6 1 5 ... 5 7 7]
 m 1800 | t 11.746010490925983 | y 13.761265615561648 | x [7 2 5 ... 4 5 0]
 m 2400 | t 14.41185938497074 | y 13.75090311933767 | x [ 0  6  3 ... 10  8  1]
 m 2700 | t 15.782191877020523 | y 13.744967312098963 | x [0 6 4 ... 4 5 4]
 m 3900 | t 21.123486813972704 | y 13.741004277231784 | x [1 2 5 ... 3 6 6]
 m 4400 | t 23.339424813981168 | y 13.731378808414386 | x [ 6  7  3 ...  1  3 10]
 m 4700 | t 24.652650787029415 | y 13.700384647848416 | x [9 2 0 ... 4 3 7]
 m 10000 | t 47.9067304310156 | y 13.700384647848416 | x [9 2 0 ... 4 3 7]

 fun P-02 | d 10000 | Facility Location | 

 m 100 | t 2.7264279610244557 | y 31027.298936217478 | x [10  6  7 ...  9  9  2]
 m 1900 | t 10.752561897970736 | y 30941.09181249063 | x [3 3 0 ... 9 5 4]
 m 10000 | t 46.08239421597682 | y 30941.09181249063 | x [3 3 0 ... 9 5 4]

 fun P-03 | d 10000 | Facility Location | 

 m 100 | t 2.815772478003055 | y -0.0 | x [ 3  3  3 ...  2  8 10]
 m 10000 | t 46.07660657900851 | y -0.0 | x [ 3  3  3 ...  2  8 10]

 fun P-04 | d 10000 | Facility Location | 

 m 100 | t 2.6823535439325497 | y 86.6825 | x [10  6  7 ...  9  9  2]
 m 200 | t 3.126290942891501 | y 86.07325 | x [6 1 5 ... 5 7 7]
 m 1800 | t 10.128710487973876 | y 85.82 | x [7 2 5 ... 4 5 0]
 m 2400 | t 12.729412017972209 | y 85.5785 | x [ 0  6  3 ... 10  8  1]
 m 2700 | t 14.02707039390225 | y 85.4405 | x [0 6 4 ... 4 5 4]
 m 3900 | t 19.28026081295684 | y 85.3485 | x [1 2 5 ... 3 6 6]
 m 4400 | t 21.49171704298351 | y 85.1255 | x [ 6  7  3 ...  1  3 10]
 m 4700 | t 22.86665894393809 | y 84.41175 | x [9 2 0 ... 4 3 7]
 m 10000 | t 46.380291108973324 | y 84.41175 | x [9 2 0 ... 4 3 7]

 fun P-05 | d 10000 | Facility Location | 

 m 100 | t 2.817287579062395 | y -266.54347086247026 | x [2 1 3 ... 8 5 1]
 m 500 | t 4.596998112043366 | y -274.95732235874306 | x [2 6 5 ... 6 2 1]
 m 10000 | t 46.32870755007025 | y -274.95732235874306 | x [2 6 5 ... 6 2 1]

 fun P-07 | d 10000 | Facility Location | 

 m 100 | t 4.19322060002014 | y 329862364496.0 | x [2 1 3 ... 8 5 1]
 m 400 | t 5.558070002007298 | y 329849782128.0 | x [6 6 0 ... 5 1 8]
 m 1000 | t 8.21299867297057 | y 329842611726.0 | x [ 9  3 10 ...  9 10  4]
 m 1400 | t 9.993723066989332 | y 329840282038.0 | x [1 6 6 ... 7 3 8]
 m 2600 | t 15.3498247199459 | y 329825504752.0 | x [ 4  0  4 ... 10  9  6]
 m 10000 | t 48.25466990796849 | y 329825504752.0 | x [ 4  0  4 ... 10  9  6]

 fun P-08 | d 10000 | Facility Location | 

 m 100 | t 2.7231380039593205 | y 342730.0 | x [10  6  7 ...  9  9  2]
 m 200 | t 3.1802375810220838 | y 340293.0 | x [6 1 5 ... 5 7 7]
 m 1800 | t 10.383343496010639 | y 339280.0 | x [7 2 5 ... 4 5 0]
 m 2400 | t 13.10293636796996 | y 338314.0 | x [ 0  6  3 ... 10  8  1]
 m 2700 | t 14.450904491939582 | y 337762.0 | x [0 6 4 ... 4 5 4]
 m 3900 | t 19.83969057595823 | y 337394.0 | x [1 2 5 ... 3 6 6]
