
 fun P-01 | d 10000 | Log Determinant | 

 m 100 | t 3.9997685640119016 | y 13.786596897863815 | x [ 8  3 10 ...  4  0  7]
 m 10000 | t 47.408285610959865 | y 13.786596897863815 | x [ 8  3 10 ...  4  0  7]

 fun P-02 | d 10000 | Log Determinant | 

 m 100 | t 2.6925682179862633 | y 30996.8624665632 | x [ 5  0  4 ...  6  4 10]
 m 300 | t 3.5834878819296136 | y 30936.703995106203 | x [3 8 2 ... 1 1 9]
 m 700 | t 5.356861216947436 | y 30902.036591683885 | x [1 1 8 ... 8 1 2]
 m 2900 | t 15.15628283598926 | y 30890.048276897083 | x [ 8  1  0 ...  9 10  8]
 m 8000 | t 37.69957494200207 | y 30837.07849947163 | x [1 7 4 ... 9 0 3]
 m 10000 | t 46.417483741999604 | y 30837.07849947163 | x [1 7 4 ... 9 0 3]

 fun P-03 | d 10000 | Log Determinant | 

 m 100 | t 2.805014649988152 | y -0.0 | x [2 3 6 ... 8 2 0]

 fun P-04 | d 10000 | Log Determinant | 

 m 100 | t 4.044074703939259 | y 13.786596897863815 | x [ 8  3 10 ...  4  0  7]
 m 100 | t 2.71570351801347 | y 86.4135 | x [ 8  3 10 ...  4  0  7]
 m 10000 | t 46.58125564607326 | y 86.4135 | x [ 8  3 10 ...  4  0  7]

 fun P-05 | d 10000 | Log Determinant | 

 m 100 | t 2.6959364030044526 | y -266.2825506641021 | x [3 9 8 ... 7 8 2]
 m 200 | t 3.1563054070575163 | y -297.37354213089833 | x [6 1 4 ... 9 4 5]
 m 800 | t 5.830497068003751 | y -298.25514360508646 | x [ 2  9  4 ...  4 10  5]
 m 2200 | t 12.064020000980236 | y -300.1682842483142 | x [ 2  6 10 ...  9  6  9]
 m 4700 | t 24.214845873997547 | y -305.025643725517 | x [2 8 6 ... 8 7 8]
 m 10000 | t 47.78713620104827 | y -305.025643725517 | x [2 8 6 ... 8 7 8]

 fun P-07 | d 10000 | Log Determinant | 

 m 100 | t 3.997160320985131 | y 329824597809.0 | x [ 7  1  6 ...  2  6 10]
 m 600 | t 6.180238364962861 | y 329817791718.0 | x [ 1 10 10 ...  7  2  6]
 m 1200 | t 9.01221979490947 | y 329812763434.0 | x [7 1 1 ... 4 7 7]
 m 1300 | t 9.44276538793929 | y 329805105652.0 | x [ 6  9  3 ...  9  1 10]
 m 1400 | t 9.867537525948137 | y 329800686040.0 | x [ 2  0  0 ...  8 10  8]
 m 1500 | t 10.292843905976042 | y 329766073215.0 | x [10  9  6 ...  5  2  5]
 m 3000 | t 16.723424630938098 | y 329753783367.0 | x [ 7  6  0 ...  8  8 10]
 m 7000 | t 34.15484075900167 | y 329726163519.0 | x [8 8 4 ... 4 8 6]
 m 10000 | t 47.13113331689965 | y 329726163519.0 | x [8 8 4 ... 4 8 6]

 fun P-08 | d 10000 | Log Determinant | 

 m 100 | t 2.9416314660338685 | y 341654.0 | x [ 8  3 10 ...  4  0  7]
 m 10000 | t 46.78262077795807 | y 341654.0 | x [ 8  3 10 ...  4  0  7]

 fun P-09 | d 10000 | Log Determinant | 

 m 100 | t 2.825150853022933 | y 4910.324829446874 | x [2 3 6 ... 8 2 0]
 m 200 | t 3.292653971002437 | y 4903.400496767988 | x [10  1  8 ...  3 10  8]
 m 400 | t 4.168529029004276 | y 4887.291625296387 | x [9 3 4 ... 8 8 7]
 m 700 | t 5.461591406026855 | y 4869.630529758448 | x [8 5 0 ... 9 3 0]
 m 800 | t 5.89986005902756 | y 4867.761216374995 | x [ 2  5 10 ...  8  8 10]
 m 1000 | t 6.766811156063341 | y 4850.762134804637 | x [4 7 6 ... 9 8 8]
 m 10000 | t 46.019761178060435 | y 4850.762134804637 | x [4 7 6 ... 9 8 8]

 fun P-10 | d 10000 | Log Determinant | 

 m 100 | t 2.670182521920651 | y 4167751.043889211 | x [2 3 6 ... 8 2 0]
 m 10000 | t 45.61461397702806 | y 4167751.043889211 | x [2 3 6 ... 8 2 0]

 fun P-01 | d 1000000 | Log Determinant | 

 m 100 | t 60.36118024692405 | y 13.869181188429314 | x [1 0 9 ... 0 6 2]
 m 200 | t 107.20790914795361 | y 13.866882380850404 | x [0 1 4 ... 8 5 8]
 m 3300 | t 1562.6113631909247 | y 13.866675866751844 | x [8 3 8 ... 5 3 6]
 m 10000 | t 4662.356570185977 | y 13.866675866751844 | x [8 3 8 ... 5 3 6]

 fun P-02 | d 1000000 | Log Determinant | 

 m 100 | t 53.92012164799962 | y 3154351.7451751083 | x [1 0 9 ... 0 6 2]
