,FED PROTES,Noisy PROTES,PROTES,BS-1,BS-2,BS-3,BS-4,BS-5,BS-6,BS-7
P-01,9.9669,9.9669,9.9669,9.9669,9.9669,9.9669,9.9669,18.3685,9.9669,9.9669
P-02,2.78807,2.78807,2.78807,2.78807,2.78807,3.32759,3.02062,11.5029,5.23153,3.02062
P-03,-0.959805,-0.959805,-0.959805,-0.959805,-0.959805,-0.959805,-0.959805,-0.675974,-0.959805,-0.959805
P-04,1.19503,1.19503,1.19503,1.19503,1.19503,1.19503,1.19503,2.79414,1.19503,1.19503
P-05,-4.76357,-4.76357,-4.76357,-4.76357,-4.76357,-4.59894,-4.76357,-1.7785,-2.19473,-4.76357
P-06,0.134887,0.134887,0.134887,0.134887,0.1427,0.134887,0.134887,0.177149,0.419836,0.134887
P-07,25194500.0,25194500.0,25194500.0,25194500.0,25194500.0,25194500.0,61193600.0,11627100000.0,24983700000.0,25194500.0
P-08,65.3574,65.3574,65.3574,65.3574,65.3574,73.2653,65.3574,103.004,124.623,65.3574
P-09,2.60104,2.60104,2.60104,2.60104,2.60104,2.94866,2.60528,2.67993,3.60171,2.60104
P-10,-526.747,-526.747,-526.747,-526.747,-526.747,-427.742,-395.412,1076.69,2623.15,-427.742
P-11,-363.0,-356.0,-357.0,-354.0,-347.0,-330.0,-345.0,-320.0,-332.0,-350.0
P-12,-5928.0,-5927.0,-5926.0,-5926.0,-5924.0,-5554.0,-5817.0,-5198.0,-5925.0,-5926.0
P-13,-3.31979,-3.31979,-3.31979,-3.12383,-2.66631,0.0,-1.84431,352.11,-3.22516,-3.21126
P-14,-3100.0,-3080.0,-3091.0,-2773.0,-2836.0,-2822.0,-2914.0,-2617.0,-3046.0,-3040.0
