 m 10 | t 2.135111127048731 | y 461.25354297424093 | x [2 7]
 m 20 | t 2.150902465218678 | y 361.25354297424093 | x [2 6]
 m 30 | t 2.1555698341690004 | y 238.74645702575907 | x [2 0]
 m 80 | t 2.1759838762227446 | y 178.65869165700548 | x [2 4]
 m 150 | t 2.2041935690212995 | y 127.14311271081286 | x [2 2]
 m 1000 | t 2.6183739241678268 | y 127.14311271081286 | x [2 2]
 m 10 | t 2.134947907878086 | y 461.2161319211955 | x [2 7]
 m 20 | t 2.150841720867902 | y 361.2161319211955 | x [2 6]
 m 30 | t 2.155682238051668 | y 238.78386807880452 | x [2 0]
 m 80 | t 2.1759860408492386 | y 173.85728831233098 | x [2 4]
 m 150 | t 2.204298628028482 | y 120.69691449746747 | x [2 2]
 m 1000 | t 2.61872310587205 | y 120.69691449746747 | x [2 2]
