fun,nbb,m,t,y
F-01,5,4700,3.7561587020754814,0.0
F-01,10,5400,2.846888500964269,0.0
F-01,15,5490,3.0939803381916136,0.0
F-01,20,4300,2.9330537361092865,0.0
F-01,25,4700,3.0882468968629837,0.0
F-01,30,7200,3.848418668145314,0.0
F-01,35,5880,3.752387911081314,0.0
F-01,40,7600,4.075744837988168,1.0
F-01,45,4680,3.547546782065183,0.0
F-01,50,8400,4.14026116207242,1.0
F-02,5,5700,2.4079967248253524,1.0
F-02,10,8200,2.964118131902069,1.0
F-02,15,7920,2.9079400210175663,2.0
F-02,20,5300,2.6817280570976436,1.0
F-02,25,8300,3.248951581073925,2.0
F-02,30,7200,3.374185675987974,5.0
F-02,35,7980,4.128487720852718,13.0
F-02,40,9040,4.178338280878961,13.0
F-02,45,6570,3.577775251120329,8.0
F-02,50,7100,3.9010801748372614,35.0
F-03,5,4900,2.6869165210518986,0.001555966367273065
F-03,10,8300,2.8068213760852814,0.001555966367273065
F-03,15,9180,3.130135962041095,0.001555966367273065
F-03,20,8100,3.0642189159989357,0.039197327669760695
F-03,25,8800,3.3316465918906033,0.001555966367273065
F-03,30,7560,3.6160213940311223,0.001555966367273065
F-03,35,7560,4.024575115879998,0.012923854839495874
F-03,40,9200,4.2952833629678935,0.08500938493389981
F-03,45,9900,4.462191958911717,0.001555966367273065
F-03,50,5900,3.6519768910948187,0.039197327669760695
F-04,5,2900,2.356653211871162,0.0
F-04,10,4200,2.538896562065929,0.0
F-04,15,4770,2.612904784968123,0.0
F-04,20,4500,2.7110466598533094,0.0
F-04,25,4200,2.8864040460903198,0.0
F-04,30,5220,3.1886262870393693,0.0
F-04,35,9450,4.5401818049140275,0.0
F-04,40,7600,3.9586348040029407,0.0
F-04,45,6660,3.7307945259381086,17.443876684976747
F-04,50,7400,3.9586122708860785,0.0
F-05,5,6300,2.4689323329366744,0.0
F-05,10,6900,2.6026598380412906,0.0
F-05,15,7920,2.890230410033837,0.0
F-05,20,9800,3.200459120096639,0.0
F-05,25,9400,3.450482458807528,0.0
F-05,30,5940,3.077099309070036,1.0
F-05,35,7840,3.9166184288915247,1.0
F-05,40,6720,3.551926069194451,3.0
F-05,45,1350,2.3284447039477527,4.0
F-05,50,9200,4.185796523001045,2.0
