Fun,m,t,y
P-21,100,3.451941392850131,2025.0
P-21,400,3.4898788367863744,729.0
P-21,800,3.5213668348733336,576.0
P-21,900,3.5292940519284457,49.0
P-21,1300,3.560529801994562,16.0
P-21,3200,3.708454987965524,9.0
P-21,3500,3.73187136487104,4.0
P-21,3700,3.7474517698865384,1.0
P-21,3800,3.7552271778695285,0.0
P-22,100,2.0546846678480506,2046.0
P-22,500,2.088397543877363,1659.0
P-22,700,2.103811652865261,847.0
P-22,1000,2.1266981458757073,396.0
P-22,1300,2.149832709925249,338.0
P-22,1400,2.1578139688353986,156.0
P-22,2600,2.252810292877257,75.0
P-22,2900,2.276491333032027,25.0
P-22,4400,2.395187361864373,20.0
P-22,4900,2.435920574935153,4.0
P-22,7000,2.601879705907777,2.0
P-22,7800,2.6651175878942013,1.0
P-23,100,2.0487587850075215,1.5710948627250667
P-23,200,2.058454785030335,1.4252409313388634
P-23,300,2.0668648171704262,1.3523604264080507
P-23,400,2.0748899991158396,1.3164837295946434
P-23,500,2.082793080015108,1.1562920521973659
P-23,1000,2.1217981381341815,0.29301092255911904
P-23,2800,2.2603333240840584,0.010454306951246328
P-23,4400,2.3917929171584547,0.001555966367273065
P-24,100,2.246622933773324,433.0421187983734
P-24,400,2.273111234884709,346.5993413051716
P-24,500,2.281762153841555,298.95343558100234
P-24,1100,2.3323858859948814,273.6687883965799
P-24,1200,2.3409947648178786,273.2341536682432
P-24,1400,2.3578191970009357,230.00969163228433
P-24,1600,2.3747247429564595,202.74258501842652
P-24,1900,2.400127775967121,148.9437722659731
P-24,2100,2.4171349050011486,147.54827867513728
P-24,2400,2.442368737887591,124.57158960361205
P-24,2900,2.4845001217909157,49.67267459961948
P-24,3600,2.5570111928973347,36.706926436567606
P-24,3700,2.5656944329384714,0.0
P-25,100,2.0665280991233885,1603.0
P-25,200,2.078311224002391,1060.0
P-25,300,2.0865072309970856,909.0
P-25,400,2.0945921370293945,137.0
P-25,1100,2.149914955953136,122.0
P-25,1300,2.1655886969529092,29.0
P-25,1800,2.2046050659846514,5.0
P-25,3000,2.2985410999972373,3.0
P-25,3500,2.3376884469762444,2.0
P-25,5700,2.5042962371371686,1.0
P-25,6700,2.5825456460006535,0.0
P-26,100,2.0604426020290703,201.0
P-26,700,2.108779610134661,61.0
P-26,1200,2.148076801095158,48.0
P-26,1400,2.163769718958065,33.0
P-26,2200,2.2259754149708897,25.0
P-26,3400,2.319748700130731,19.0
P-26,4100,2.3743343020323664,14.0
P-26,5300,2.4681795639917254,11.0
P-27,100,2.06622928311117,62822.0
P-27,400,2.095525577198714,45918.0
P-27,500,2.10360095417127,38725.0
P-27,700,2.119465106166899,7815.0
P-27,1200,2.1588856210000813,4007.0
P-27,2100,2.2297309751156718,2307.0
P-27,2200,2.23766011511907,1804.0
P-27,3000,2.300567902158946,408.0
P-27,4000,2.3800957950297743,305.0
P-27,4200,2.3960561989806592,302.0
P-27,6400,2.5685619791038334,102.0
P-27,7600,2.662723461166024,101.0
P-28,100,2.1603514899034053,0.5
P-28,2100,2.3185762490611523,0.4
P-28,3200,2.404135122895241,0.30000000000000004
P-28,6800,2.684499830007553,0.2
P-28,7200,2.715905691962689,0.1
P-29,100,2.070077736862004,49.0
P-29,200,2.0795161288697273,30.0
P-29,700,2.1187773018609732,17.0
P-29,1200,2.1579135979991406,13.0
P-29,1400,2.173715290846303,9.0
P-29,2600,2.2675544219091535,8.0
P-29,2900,2.2908584270626307,6.0
P-29,3000,2.2987703748513013,5.0
P-29,3100,2.306603913893923,3.0
P-29,3600,2.345769034931436,2.0
P-29,4700,2.431574607035145,0.0
P-30,100,2.051860364852473,104.0
P-30,500,2.0841587698087096,82.0
P-30,800,2.107611646875739,78.0
P-30,1100,2.131375362863764,51.0
P-30,1400,2.1545257659163326,19.0
P-30,1800,2.1856887289322913,10.0
P-30,3100,2.2871085489168763,7.0
P-30,4400,2.3884031218476593,6.0
P-30,4900,2.4276643148623407,2.0
P-30,5300,2.4588033920153975,1.0
P-30,6200,2.5290317558683455,0.0
P-31,100,2.160831268876791,-38.0
P-31,300,2.177714152028784,-57.0
P-31,600,2.2014512978494167,-60.0
P-31,2600,2.3592308228835464,-61.0
P-31,2900,2.382633715867996,-62.0
P-31,3200,2.4060635888017714,-63.0
P-31,4100,2.4763534588273615,-65.0
P-31,6000,2.6247325849253684,-66.0
P-31,7300,2.7226808748673648,-67.0
P-32,100,2.0737557800021023,60.30176615106608
P-32,500,2.1079822189640254,36.43878224565994
P-32,600,2.1162487789988518,10.060844921050837
P-32,1500,2.1892128391191363,7.2285367927446895
P-32,1600,2.1974287731572986,4.528959283135391
P-32,2600,2.278801742941141,4.502771395248741
P-32,2700,2.2870334770996124,4.215709054331398
P-32,3100,2.319237401941791,4.163935782733536
P-32,3300,2.3354554851539433,1.3367026263330188
P-32,3500,2.3519141140859574,1.2789363298260654
P-32,4500,2.432595442980528,0.39054071158374243
P-32,5600,2.5213932271581143,0.0
P-33,100,2.1109732990153134,0.6362421009510761
P-33,200,2.120228682877496,0.5635383595703178
P-33,400,2.136352416826412,0.42068172836660034
P-33,900,2.17723783897236,0.28574624754211597
P-33,1300,2.208845263812691,0.2857137740587886
