,F-XX,m,t,y
0,F-01,4700,23.986581690842286,111320320609.0
1,F-02,8900,40.44765927293338,388197561587.0
2,F-03,6100,28.866313762962818,5002.728053493773
3,F-04,4700,22.972383515909314,2473610716.165041
4,F-06,2600,13.5265488170553,329825504752.0
5,F-07,9900,45.288142144912854,1804720566.0
6,F-08,8900,41.14594459300861,57.9926529795312
7,F-09,4700,22.691719172056764,333647.0
8,F-10,4700,22.899102605180815,1662295334.0
9,F-11,8900,40.9881616900675,-1280.0
10,F-12,2000,11.122285022167489,2520740142464.7017
11,F-13,200,3.123580041807145,0.9449584175157459
