,F-XX,m,t,y
0,F-01,100,4.092216962017119,116727455716.0
1,F-02,600,4.927104732021689,414757652091.0
2,F-03,8100,38.24441883293912,4987.720409503912
3,F-04,8000,38.21696694707498,2519801369.3961554
4,F-06,7000,33.03040236700326,329726163519.0
5,F-07,100,2.782947175204754,1931332804.0
6,F-08,100,2.6804111648816615,58.57979720503591
7,F-09,100,2.682627590140328,341654.0
8,F-10,100,2.7848374887835234,1713775745.0
9,F-11,400,3.927881305105984,5296.0
10,F-12,8100,38.48318952997215,2532185108925.9775
11,F-13,8800,41.27415755297989,0.9301457882092489
