
 fun F-01 | d 10000 |

 m 100 | t 4.062328677158803 | y 113333895801.0 | x [9 3 1 ... 1 3 8]
 m 1200 | t 8.64678909117356 | y 112408655076.0 | x [10  2  3 ...  2  5  7]
 m 1300 | t 9.043679932132363 | y 111740444176.0 | x [ 2  0  9 ... 10  1  2]
 m 1400 | t 9.44654826214537 | y 110348867344.0 | x [1 3 8 ... 5 1 0]
 m 1800 | t 11.062210662988946 | y 109776918276.0 | x [8 1 6 ... 4 6 0]
 m 1900 | t 11.457344894995913 | y 109315535641.0 | x [4 7 5 ... 2 1 3]
 m 2200 | t 12.732135880040005 | y 107402364729.0 | x [ 0  3  1 ...  1 10  1]
 m 3000 | t 16.00355696119368 | y 106493879556.0 | x [8 1 8 ... 6 6 9]
 m 3400 | t 17.607946390053257 | y 105841560889.0 | x [5 0 0 ... 6 5 0]
 m 3500 | t 18.003113866085187 | y 104865221241.0 | x [9 0 8 ... 1 5 9]
 m 4100 | t 20.439000164158642 | y 103731661476.0 | x [9 3 9 ... 1 6 5]
 m 4300 | t 21.26491808798164 | y 103136680201.0 | x [4 1 7 ... 3 6 9]
 m 4500 | t 22.0664375689812 | y 102692047936.0 | x [9 3 8 ... 9 4 7]
 m 4600 | t 22.455751050962135 | y 101969094276.0 | x [ 1  8 10 ...  1  8 10]
 m 4700 | t 22.85956817213446 | y 101785883521.0 | x [9 1 0 ... 3 2 5]
 m 5100 | t 24.58987981802784 | y 100289389225.0 | x [0 1 8 ... 4 5 2]
 m 5800 | t 27.19981680298224 | y 99701220025.0 | x [9 3 3 ... 1 3 9]
 m 6300 | t 29.03002349496819 | y 97340256036.0 | x [ 9  0  8 ...  1 10  3]
 m 8600 | t 37.553402157034725 | y 96449998096.0 | x [6 8 6 ... 2 5 3]
 
 fun F-02 | d 10000 |

 m 100 | t 2.7064183079637587 | y 408029986464.0 | x [9 3 1 ... 1 3 8]
 m 200 | t 3.0916129269171506 | y 403535655869.0 | x [6 1 5 ... 6 7 7]
 m 600 | t 4.586666508112103 | y 401122498378.0 | x [6 5 3 ... 7 4 0]
 m 1000 | t 6.13489906094037 | y 400149517518.0 | x [8 9 2 ... 0 7 2]
 m 1200 | t 6.887767320964485 | y 396593707793.0 | x [10  2  3 ...  2  5  8]
 m 1400 | t 7.648542788112536 | y 394932411882.0 | x [9 0 7 ... 2 4 2]
 m 1500 | t 8.12316873902455 | y 394047535948.0 | x [10  7  1 ... 10  6  7]
 m 1800 | t 9.257304515922442 | y 392285519298.0 | x [1 0 4 ... 4 6 8]
 m 1900 | t 9.641400913940743 | y 391040121542.0 | x [2 3 1 ... 9 5 3]
 m 2100 | t 10.393012263113633 | y 389483722887.0 | x [4 1 8 ... 1 7 2]
 m 2200 | t 10.762765655992553 | y 384188770410.0 | x [ 1  4  1 ...  1 10  2]
 m 2500 | t 11.89900545310229 | y 382845718486.0 | x [4 1 4 ... 8 5 2]
 m 3000 | t 13.775173435918987 | y 380573567726.0 | x [5 1 8 ... 0 2 1]
 m 3100 | t 14.150292038917542 | y 379250951121.0 | x [9 1 1 ... 3 2 0]
 m 3400 | t 15.273863575886935 | y 378427890869.0 | x [ 2  7  8 ...  6 10  0]
 m 3600 | t 16.028623593971133 | y 378396474331.0 | x [6 3 1 ... 2 5 2]
 m 3700 | t 16.406368415104225 | y 375965703893.0 | x [10  4  2 ...  1  0  4]
 m 4000 | t 17.52215203200467 | y 375410400263.0 | x [4 0 1 ... 1 6 8]
 m 4100 | t 17.899352540960535 | y 371678857655.0 | x [4 9 2 ... 2 7 0]
 m 4500 | t 19.43649348989129 | y 370004605749.0 | x [10  3  8 ... 10  5  7]
 m 4600 | t 19.821229893015698 | y 366721158651.0 | x [ 2  9 10 ...  1  7  9]
 m 4700 | t 20.207186307990924 | y 365839832528.0 | x [10  2  0 ...  3  3  6]
 m 5100 | t 21.74425256694667 | y 364555796617.0 | x [1 2 8 ... 4 6 2]
 m 5800 | t 24.435810430906713 | y 359691273476.0 | x [10  4  2 ...  1  4  9]
 m 6300 | t 26.35662317997776 | y 353000215909.0 | x [10  1  8 ...  1  9  4]
 m 7500 | t 30.995082217035815 | y 349867099208.0 | x [ 0  3 10 ...  8  7  2]
 m 9800 | t 39.89875564095564 | y 349295253628.0 | x [ 9  3 10 ...  2  6  8]
 m 9900 | t 40.2955047339201 | y 348101998886.0 | x [6 6 6 ... 6 3 8]
 
 fun F-03 | d 10000 |

 m 100 | t 2.6644093580543995 | y 5008.661007975131 | x [3 8 0 ... 0 6 4]
 m 300 | t 3.4576408399734646 | y 5003.010628709056 | x [ 6 10  6 ...  2  6  8]
 m 500 | t 4.240021857898682 | y 5002.674236035098 | x [4 2 6 ... 0 3 2]
 m 700 | t 5.0252139728982 | y 4986.572585959321 | x [ 2  5  4 ...  9 10  6]
 m 1400 | t 7.818502384936437 | y 4972.726676021165 | x [10  2  0 ...  3  7  2]
 m 1900 | t 9.785702710971236 | y 4972.053355031353 | x [10  5 10 ...  3  2 10]
