,FED PROTES,BS-0,BS-1,BS-2,BS-3,BS-4,BS-5,BS-6,BS-7,Noisy_protes,Noisy_def_protes
P-21,4.2422,2.647,0.04155,0.1077,25.1,28.23,20.98,20.11,89.76,3.872,4.3651
P-22,2.8496,2.559,0.0429,0.09242,27.12,28.8,21.2,21.47,86.64,2.557,3.2134
P-23,2.8469,2.536,0.04468,0.149,24.16,34.75,21.05,21.04,67.15,2.693,3.2529
P-24,3.1174,2.552,0.05093,0.2575,23.38,34.74,21.53,20.44,79.46,2.573,3.5648
P-25,2.8513,2.531,0.04377,0.03496,31.72,28.15,21.2,20.66,87.97,2.735,3.0721
P-26,2.8458,2.535,0.04135,0.03231,25.13,31.2,21.3,20.35,97.98,2.544,3.0454
P-27,2.8616,2.677,0.04271,0.1065,23.83,26.44,21.27,20.32,87.8,2.556,3.0405
P-28,2.944,2.548,0.04226,0.1809,23.09,36.09,21.94,20.51,88.97,2.567,3.1207
P-29,2.8548,2.543,0.04025,0.03132,24.44,28.18,21.14,20.36,88.15,2.754,2.955
P-30,2.8413,2.725,0.04186,0.04068,25.28,27.3,21.45,20.96,92.01,2.566,3.0752
P-31,2.9547,2.818,0.04228,0.08567,27.63,45.56,21.02,23.61,87.82,2.557,3.1304
P-32,2.8873,2.603,0.05884,0.1051,24.84,29.98,21.17,23.63,84.52,2.586,3.1757
P-33,2.9073,2.82,0.04539,0.06903,23.17,29.19,21.24,20.51,66.73,2.575,3.1273
P-34,2.8482,2.556,0.04472,0.0449,23.29,37.53,21.04,20.37,85.5,2.829,3.1271
