,FED PROTES,BS-0,BS-1,BS-2,BS-3,BS-4,BS-5,BS-6,BS-7,Noisy_protes,Noisy_def_protes
P-21,0.0,61.5951,67.2655,61.5951,61.5951,61.5951,27538.7,61.5951,61.5951,61.5951,-0.31806
P-22,1.0,55.7124,130.202,55.7124,55.7124,55.7124,37541.6,55.7124,55.7124,55.7124,0.57818
P-23,0.001556,1.67815,1.60577,1.67752,2.01548,2.21264,2.55171,2.32692,1.67752,1.80796,-0.42864
P-24,0.0,113.901,113.901,146.022,113.901,141.806,914.673,113.901,113.901,141.806,-0.37526
P-25,0.0,0.00897165,0.00897165,0.00897165,0.00897165,0.00897165,0.150318,0.00897165,0.00897165,0.00897165,-0.23194
P-26,11.0,1699220.0,1699220.0,1699220.0,1699220.0,4315470.0,11104900000.0,20846200000.0,1699220.0,1699220.0,10.694
P-27,101.0,43.1105,9.07486,9.07486,23.3244,23.1102,717.068,25.7037,23.7084,23.7084,99.68
P-28,0.1,2.70409,2.70488,3.83999,2.70409,2.70488,13.4208,2.70409,2.70409,2.70409,-0.15759
P-29,0.0,2.08501,2.08501,2.08501,2.08501,2.08501,43.394,2.08501,2.08501,2.08501,-0.48131
P-30,0.0,34.642,34.642,34.642,34.642,34.642,715.153,34.642,34.642,34.642,-0.57599
P-31,-67.0,-30.8987,51.0055,-30.8987,-30.1405,534.939,2041.11,-30.1405,-30.1405,-30.8987,-67.401
P-32,0.0,0.503898,0.646433,0.628063,0.549695,1.38565,66.7327,185.362,0.503898,0.503898,-0.4103
P-33,0.0,0.826959,0.826959,0.826959,0.877467,0.832375,0.857149,1.79503,0.829254,0.826959,-0.41776
P-34,0.019363,0.12185,0.12185,0.12185,0.135201,0.20443,0.350557,0.237065,0.127698,0.12185,-0.3384
