P-01:  Our          > m 1.0e+04 | t 3.815e+00 | y 1.23470e+01 <<< DONE
P-01:  BS-1         > m 1.0e+04 | t 4.369e-02 | y 1.23470e+01 <<< DONE
P-01:  BS-2         > m 9.9e+03 | t 2.284e-01 | y 1.23470e+01 <<< DONE
P-01:  BS-3         > m 1.0e+04 | t 2.291e+01 | y 1.23470e+01 <<< DONE
P-01:  BS-4         > m 1.0e+04 | t 2.496e+01 | y 1.23470e+01 <<< DONE
P-01:  BS-5         > m 1.0e+04 | t 2.098e+01 | y 2.10825e+01 <<< DONE
P-01:  BS-6         > m 1.0e+04 | t 1.989e+01 | y 1.23470e+01 <<< DONE
P-01:  BS-7         > m 1.0e+04 | t 6.601e+01 | y 1.23470e+01 <<< DONE



P-02:  Our          > m 1.0e+04 | t 2.566e+00 | y 2.02053e+00 <<< DONE
P-02:  BS-1         > m 1.0e+04 | t 4.218e-02 | y 2.02053e+00 <<< DONE
P-02:  BS-2         > m 3.6e+03 | t 3.007e-02 | y 2.02053e+00 <<< DONE
P-02:  BS-3         > m 1.0e+04 | t 2.399e+01 | y 4.24119e+00 <<< DONE
P-02:  BS-4         > m 1.0e+04 | t 3.631e+01 | y 3.18344e+00 <<< DONE
P-02:  BS-5         > m 1.0e+04 | t 2.088e+01 | y 1.17460e+01 <<< DONE
P-02:  BS-6         > m 1.0e+04 | t 1.983e+01 | y 4.96074e+00 <<< DONE
P-02:  BS-7         > m 1.0e+04 | t 8.285e+01 | y 3.54965e+00 <<< DONE



P-03:  Our          > m 1.0e+04 | t 2.705e+00 | y -9.62866e-01 <<< DONE
P-03:  BS-1         > m 1.0e+04 | t 4.140e-02 | y -9.62866e-01 <<< DONE
P-03:  BS-2         > m 3.6e+03 | t 3.355e-02 | y -9.62866e-01 <<< DONE
P-03:  BS-3         > m 1.0e+04 | t 2.669e+01 | y -9.62866e-01 <<< DONE
P-03:  BS-4         > m 1.0e+04 | t 2.497e+01 | y -9.62866e-01 <<< DONE
P-03:  BS-5         > m 1.0e+04 | t 2.073e+01 | y -3.79504e-01 <<< DONE
P-03:  BS-6         > m 1.0e+04 | t 1.971e+01 | y -9.62866e-01 <<< DONE
P-03:  BS-7         > m 1.0e+04 | t 6.723e+01 | y -9.62866e-01 <<< DONE



P-04:  Our          > m 1.0e+04 | t 2.553e+00 | y 1.16587e+00 <<< DONE
P-04:  BS-1         > m 1.0e+04 | t 4.263e-02 | y 1.16587e+00 <<< DONE
P-04:  BS-2         > m 9.3e+03 | t 7.124e-02 | y 1.16587e+00 <<< DONE
P-04:  BS-3         > m 1.0e+04 | t 2.286e+01 | y 1.16587e+00 <<< DONE
P-04:  BS-4         > m 1.0e+04 | t 2.488e+01 | y 1.16587e+00 <<< DONE
P-04:  BS-5         > m 1.0e+04 | t 2.097e+01 | y 4.60299e+00 <<< DONE
P-04:  BS-6         > m 1.0e+04 | t 1.995e+01 | y 1.16587e+00 <<< DONE
P-04:  BS-7         > m 1.0e+04 | t 6.534e+01 | y 1.16587e+00 <<< DONE



P-05:  Our          > m 1.0e+04 | t 2.546e+00 | y -3.90802e+00 <<< DONE
P-05:  BS-1         > m 1.0e+04 | t 4.453e-02 | y -3.90802e+00 <<< DONE
P-05:  BS-2         > m 9.7e+03 | t 7.653e-02 | y -3.90802e+00 <<< DONE
P-05:  BS-3         > m 1.0e+04 | t 2.495e+01 | y -3.90802e+00 <<< DONE
P-05:  BS-4         > m 1.0e+04 | t 2.922e+01 | y -3.32849e+00 <<< DONE
P-05:  BS-5         > m 1.0e+04 | t 2.105e+01 | y -2.14973e+00 <<< DONE
P-05:  BS-6         > m 1.0e+04 | t 1.994e+01 | y -2.13684e+00 <<< DONE
P-05:  BS-7         > m 1.0e+04 | t 7.905e+01 | y -3.90802e+00 <<< DONE



P-06:  Our          > m 1.0e+04 | t 2.539e+00 | y 1.93264e-01 <<< DONE
P-06:  BS-1         > m 1.0e+04 | t 4.194e-02 | y 1.93264e-01 <<< DONE
P-06:  BS-2         > m 9.9e+03 | t 2.237e-01 | y 1.95083e-01 <<< DONE
P-06:  BS-3         > m 1.0e+04 | t 2.502e+01 | y 1.93264e-01 <<< DONE
P-06:  BS-4         > m 1.0e+04 | t 2.562e+01 | y 1.93264e-01 <<< DONE
P-06:  BS-5         > m 1.0e+04 | t 2.100e+01 | y 2.10523e-01 <<< DONE
P-06:  BS-6         > m 1.0e+04 | t 2.014e+01 | y 4.26035e-01 <<< DONE
P-06:  BS-7         > m 1.0e+04 | t 8.398e+01 | y 1.93264e-01 <<< DONE



P-07:  Our          > m 1.0e+04 | t 2.682e+00 | y 1.30280e+08 <<< DONE
P-07:  BS-1         > m 1.0e+04 | t 3.906e-02 | y 1.30280e+08 <<< DONE
P-07:  BS-2         > m 3.6e+03 | t 3.373e-02 | y 1.30280e+08 <<< DONE
P-07:  BS-3         > m 1.0e+04 | t 3.540e+01 | y 1.30280e+08 <<< DONE
P-07:  BS-4         > m 1.0e+04 | t 2.941e+01 | y 1.31356e+08 <<< DONE
P-07:  BS-5         > m 1.0e+04 | t 2.093e+01 | y 1.83946e+10 <<< DONE
P-07:  BS-6         > m 1.0e+04 | t 2.038e+01 | y 2.20010e+10 <<< DONE
P-07:  BS-7         > m 1.0e+04 | t 9.786e+01 | y 1.30280e+08 <<< DONE



P-08:  Our          > m 1.0e+04 | t 2.533e+00 | y 8.38728e+01 <<< DONE
P-08:  BS-1         > m 1.0e+04 | t 4.139e-02 | y 8.38728e+01 <<< DONE
P-08:  BS-2         > m 1.0e+04 | t 6.215e-02 | y 8.38728e+01 <<< DONE
P-08:  BS-3         > m 1.0e+04 | t 2.332e+01 | y 9.44737e+01 <<< DONE
P-08:  BS-4         > m 1.0e+04 | t 2.569e+01 | y 8.38728e+01 <<< DONE
P-08:  BS-5         > m 1.0e+04 | t 2.088e+01 | y 1.31430e+02 <<< DONE
P-08:  BS-6         > m 1.0e+04 | t 1.993e+01 | y 1.36457e+02 <<< DONE
P-08:  BS-7         > m 1.0e+04 | t 6.554e+01 | y 8.38728e+01 <<< DONE



P-09:  Our          > m 1.0e+04 | t 2.544e+00 | y 2.51935e+00 <<< DONE
P-09:  BS-1         > m 1.0e+04 | t 4.235e-02 | y 2.51796e+00 <<< DONE
P-09:  BS-2         > m 9.7e+03 | t 1.182e-01 | y 2.51796e+00 <<< DONE
P-09:  BS-3         > m 1.0e+04 | t 2.219e+01 | y 2.99167e+00 <<< DONE
P-09:  BS-4         > m 1.0e+04 | t 2.528e+01 | y 2.51995e+00 <<< DONE
P-09:  BS-5         > m 1.0e+04 | t 2.101e+01 | y 2.67853e+00 <<< DONE
P-09:  BS-6         > m 1.0e+04 | t 1.984e+01 | y 3.14398e+00 <<< DONE
P-09:  BS-7         > m 1.0e+04 | t 6.581e+01 | y 2.51796e+00 <<< DONE



P-10:  Our          > m 1.0e+04 | t 2.685e+00 | y -6.86929e+02 <<< DONE
P-10:  BS-1         > m 1.0e+04 | t 4.043e-02 | y -6.86929e+02 <<< DONE
P-10:  BS-2         > m 9.3e+03 | t 7.024e-02 | y -6.86929e+02 <<< DONE
